         838397 function calls (835668 primitive calls) in 1.256 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      623    0.001    0.000    0.001    0.000 /usr/lib/python3.6/_collections_abc.py:719(__iter__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/_strptime.py:12(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/_strptime.py:273(compile)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:206(connection_from_host)
       60    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:52(get_full_url)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:229(connection_from_context)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/_strptime.py:185(__init__)
       50    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:462(get)
      8/4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:2181(_signature_from_callable)
       90    0.000    0.000    0.001    0.000 /usr/lib/python3.6/urllib/parse.py:808(quote_from_bytes)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:542(_code)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:347(prepare_url)
       94    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
       17    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:38(__init__)
      271    0.001    0.000    0.001    0.000 /usr/lib/python3.6/urllib/parse.py:109(_coerce_args)
    71/24    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        9    0.000    0.000    0.001    0.000 /usr/lib/python3.6/http/cookiejar.py:455(parse_ns_headers)
        8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:115(prepare_markup)
       20    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:89(origin_req_host)
       20    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:564(get_content_type)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:242(connection_from_pool_key)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:135(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/netrc.py:1(<module>)
     2496    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:588(__init__)
       20    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:49(get_origin_req_host)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:2100(_signature_from_function)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:548(prepare_cookies)
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/message.py:497(get_all)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/sessions.py:340(__init__)
        5    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:136(get_cookie_header)
       45    0.000    0.000    0.001    0.000 /usr/lib/python3.6/queue.py:115(put)
        3    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:255(doctype)
     16/4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:64(_compile)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:170(_new_pool)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
       20    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:46(get_host)
       88    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       94    0.000    0.000    0.001    0.000 /usr/lib/python3.6/email/_policybase.py:281(_sanitize_header)
      136    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       88    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       90    0.000    0.000    0.001    0.000 /usr/lib/python3.6/threading.py:334(notify)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:161(__init__)
       20    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:344(set_cookie)
     1576    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       11    0.000    0.000    0.001    0.000 /usr/lib/python3.6/contextlib.py:85(__exit__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:82(_encode_params)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1048(__getattr__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:224(extend)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/message.py:588(get_content_maintype)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:184(close)
       15    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:1398(__init__)
      8/4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:407(_parse_sub)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/dammit.py:239(encodings)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:289(_error_catcher)
     14/4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:470(_parse)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:950(get_text)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:405(close)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:942(close)
       47    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/_policybase.py:293(header_source_parse)
       13    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:503(cookiejar_from_dict)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:113(__init__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:250(_init_decoder)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/cookiejar.py:750(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:743(get_code)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/cookiejar.py:539(domain_match)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/cookiejar.py:680(reach)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/cookiejar.py:1334(add_cookie_header)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:82(copy)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:174(release_conn)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:955(<listcomp>)
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/cookiejar.py:524(is_HDN)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/dammit.py:298(find_declared_encoding)
      111    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:803(__and__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/message.py:451(items)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      147    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:53(__getitem__)
       63    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:150(__getitem__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/urllib/parse.py:830(urlencode)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/cookiejar.py:1367(_normalized_cookie_tuples)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_strptime.py:250(pattern)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:214(_get_conn)
       79    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:58(__iter__)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       62    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:128(__next__)
      662    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_collections_abc.py:698(__init__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/connectionpool.py:252(_put_conn)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:410(get_encoding_from_headers)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/shlex.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/message.py:459(<listcomp>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:413(close)
      306    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/bs4/element.py:925(_all_strings)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       86    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_strptime.py:52(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      262    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:267(__call__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:409(_real_close)
      112    0.000    0.000    0.000    0.000 <string>:12(__new__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/feedparser.py:101(push)
      169    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:698(select_proxy)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.6/urllib/parse.py:791(quote_plus)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:227(__init__)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.6/http/client.py:1195(putheader)
       93    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:611(readable)
       94    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:239(__enter__)
       28    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/requests/utils.py:244(to_key_val_list)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/util/response.py:38(assert_header_parsing)
       90    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:254(_is_owned)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       47    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/_collections.py:208(add)
       99    0.000    0.000    0.000    0.000 /usr/lib/python3.6/email/utils.py:51(_has_surrogates)
