         409477 function calls (406448 primitive calls) in 99.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1023/892    0.002    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:275(_unwrap_value)
      893    0.002    0.000    0.005    0.000 /usr/lib/python3.6/urllib/parse.py:146(username)
     1288    0.003    0.000    0.004    0.000 /usr/lib/python3.6/string.py:119(convert)
      892    0.002    0.000    0.004    0.000 /usr/lib/python3.6/http/client.py:370(_check_close)
     1788    0.004    0.000    0.004    0.000 /usr/lib/python3.6/urllib/parse.py:109(_coerce_args)
      892    0.002    0.000    0.004    0.000 {function HTTPResponse.close at 0x7f15e447a598}
      892    0.003    0.000    0.004    0.000 /usr/lib/python3.6/email/feedparser.py:197(_new_message)
    18477    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     1784    0.004    0.000    0.004    0.000 /usr/lib/python3.6/email/message.py:120(__init__)
     8730    0.004    0.000    0.004    0.000 {method 'join' of 'bytes' objects}
     4460    0.003    0.000    0.004    0.000 /usr/lib/python3.6/http/client.py:1243(<genexpr>)
11370/11368    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      170    0.000    0.000    0.003    0.000 /usr/lib/python3.6/_strptime.py:562(_strptime_datetime)
      485    0.002    0.000    0.003    0.000 /usr/lib/python3.6/urllib/parse.py:386(_splitnetloc)
      170    0.001    0.000    0.003    0.000 /usr/lib/python3.6/_strptime.py:321(_strptime)
     7136    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     1978    0.003    0.000    0.003    0.000 /usr/lib/python3.6/socket.py:611(readable)
      893    0.002    0.000    0.003    0.000 /usr/lib/python3.6/urllib/parse.py:178(_userinfo)
     1784    0.003    0.000    0.003    0.000 /usr/lib/python3.6/logging/__init__.py:1530(getEffectiveLevel)
     1784    0.002    0.000    0.003    0.000 /usr/lib/python3.6/email/feedparser.py:122(pushlines)
     3653    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/chrome/remote_connection.py:23(__init__)
    10413    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
        1    0.001    0.001    0.003    0.003 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/remote_connection.py:194(__init__)
      892    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/errorhandler.py:103(check_response)
        5    0.000    0.000    0.002    0.000 /usr/lib/python3.6/socket.py:688(create_connection)
     4616    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/common/utils.py:97(is_connectable)
      893    0.001    0.000    0.002    0.000 <string>:12(__new__)
     1086    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      423    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/selenium/webdriver/remote/webdriver.py:271(create_web_element)
      892    0.002    0.000    0.002    0.000 /usr/lib/python3.6/socket.py:403(_decref_socketios)
