         1502840 function calls (1498301 primitive calls) in 2.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31067    0.003    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\element.py:1029(__bool__)
      3/2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap>:663(_load_unlocked)
       40    0.003    0.000    0.003    0.000 {built-in method nt.stat}
       24    0.003    0.000    0.003    0.000 {built-in method winreg.OpenKey}
      3/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
        9    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:307(prepare)
       99    0.001    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\message.py:462(get)
      132    0.001    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:51(get_full_url)
       44    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:88(origin_req_host)
       11    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1278(_cookies_for_request)
        2    0.000    0.000    0.003    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1260(_cookies_for_domain)
       37    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:37(__init__)
     18/9    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\inspect.py:2198(_signature_from_callable)
    10286    0.003    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:222(_prefix_for_namespace)
       44    0.000    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:48(get_origin_req_host)
       44    0.001    0.000    0.003    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\message.py:564(get_content_type)
      201    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\urllib\parse.py:843(quote_from_bytes)
     9306    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
       44    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:45(get_host)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\poolmanager.py:268(connection_from_url)
      208    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\_policybase.py:311(header_fetch_parse)
     2420    0.002    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\os.py:737(check_str)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:596(__init__)
       44    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:343(set_cookie)
        9    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\inspect.py:2117(_signature_from_function)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      3/2    0.000    0.000    0.002    0.001 {built-in method builtins.exec}
       20    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:452(parse_ns_headers)
       52    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\message.py:497(get_all)
     2352    0.002    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\os.py:696(__iter__)
        4    0.000    0.000    0.002    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:1079(return_ok)
     1097    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\_collections_abc.py:672(keys)
       22    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\genericpath.py:16(exists)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\_collections.py:136(__init__)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\poolmanager.py:208(connection_from_host)
      208    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\_policybase.py:281(_sanitize_header)
       33    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\message.py:588(get_content_maintype)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\poolmanager.py:231(connection_from_context)
       44    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:536(domain_match)
      104    0.001    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\_policybase.py:293(header_source_parse)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\email\feedparser.py:184(close)
      293    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
       18    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\bs4\builder\_lxml.py:115(prepare_markup)
       29    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\cookies.py:508(cookiejar_from_dict)
        9    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\client.py:934(close)
        9    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:355(prepare_url)
       17    0.002    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\models.py:835(text)
        2    0.000    0.000    0.002    0.001 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\requests\sessions.py:256(rebuild_auth)
       11    0.000    0.000    0.002    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\_collections.py:225(extend)
       26    0.000    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\_strptime.py:574(_strptime_datetime)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       26    0.000    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\_strptime.py:318(_strptime)
       44    0.001    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:677(reach)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      132    0.001    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:521(is_HDN)
        9    0.000    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\socket.py:416(close)
       11    0.000    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\site-packages\urllib3\poolmanager.py:244(connection_from_pool_key)
       40    0.001    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\http\cookiejar.py:747(__init__)
       16    0.000    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\re.py:232(compile)
       16    0.000    0.000    0.001    0.000 C:\Users\duanr\AppData\Local\Programs\Python\Python37-32\lib\re.py:271(_compile)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
